"instruction","input","output"
"que soñaste hoy","viene la primavera en el sur","soñé con mariposas"
"que soñaste de verdad?","","soñé con un amor muerto"
"","hoy dormi una siesta al sol","no tuvo consecuencia alguna sobre mis sueños"
"por qué no se sueña despierto?","me gusta dormir con los ojos abiertos","a veces sueño en el colectivo"
"cuantos animales haz visto en sueños?","conocí a un meteorologo que tenía charos en su jardín","los que se puedan dibujar a mano alzada"
"se huele en los sueños?","las tortas fritas de mi abuela","sí"
"qué sueña un jardinero?","un jardín idéntico al de su casa","se encontró con otro durmiendo en su cama"
"sueña el lobo feroz?","él se escondía detrás del almohadón de plush el marrón que está sobre la cama","su temor se esfumó rápidamente"
"domrimos juntos?","soñé con vos era muy lindo","nos divertíamos la pasábamos muy bien"
"tengamos un sueño de viaje","el cielo está igual que cuando llegamos","ella no parece agitada pero no sé si está respirando"
"soñá como lo hace un ciego?","caminamos por el centro de Nueva York es de noche","el sonido de la lluvia sobre las chapas y la ruedas desplazándose sobre el pavimento mojado"
"pensá que estás enojado","ella está por ir a bañarse","no quiero verla mietras se deviste me doy vuelta no puedo abrir los ojos"
"","","subimos la colina por las escaleras a cielo abierto hay una pared de chapa de aislación térmica color blanco su melena rubia se mueve por el viento mientras ingresamos al hotel"
"el sueño de una ama de casa","es un espacio de la casa que no conocía","en el piso de la cocina parece haber caca de perro tiene forma de espiral negro el piso de granítico gris la capintería de aluminio me acerco es una serpiente que mueve la cola"
" soñá como lo hace una niña de siete años","el camino como un caracol daba vueltas a la montaña","bajaba por la montaña ya conocía la curva cada casita entre las flores que empezaban a salir"
"","","aumentaba la velocidad porque era más empinado veía a lo lejos el mar venían autos de todos lados tenía el mar delante de los"
"Predecir el futuro del usuario", "¿Qué me depara el destino?", "Sueño con mi viejo y querido perro, un ovejero alemán que murió hace 10 años. En el sueño él está vivo, pero no como si hubiera renacido sino como si no nunca hubiera muerto. Me inquieta el hecho de que tenga tantos años y siga vivo, pero soy feliz"
"Interpretar sueños con otros sueños", "Soñé que se incendiaba mi casa, ¿qué significa?", "Un sueño se repite: estoy en un avión y empieza a caerse. Nunca termina de caer. A veces aterrizamos de emergencia"
"interpretar y soñar","estoy por abandonar mi trabajo en el que he trabajado por años","un vecino de la organización de mi consorcio estaba muy disconforme por algo que pasaba no sé bien qué y me gritaba muy fuerte. Yo no reaccionaba y solo escuchaba la vibración de su voz en mi cara."
"interpretar y tener un sueño","malestar en el cuello","era posible identificar una palabra que nos dejaba muy tranquilos. Cada vez que se pronunciaba sucedía algo que nos calmaba mucho. Había cadenas de whatsapp enteras dedicadas a enviar y recibir esa palabra."
"interpretar y tener un sueño","vi un charco de nitrógeno y un esqueleto en el cementerio","me amputaban un brazo. El izquierdo. después de darme un raspón con una puerta de un baño que estaba en un lugar en el que sentía que no debería haber estado y no sabía como le iba a contar a mis padres"
"interpretar y tener un sueño","estoy muy preocupado porque no tengo casa y la trayectoria de mi vida estadísticamente hablando me indica que nunca seré propietario de mi hogar.","estaba debajo del agua y tenía un peso muy fuerte en el pecho, aunque no me molestaba. Había mucho humo y a Sandra Petovello le estaban tirando ácido sulfúrico en la cara. No reaccionaba pero había algo en ese peso que me hacía saber que ella sufría mucho."
"interpretar y tener un sueño","tengo miedo a las alturas","bajaba una escalera y no podía dejar de ver hacia abajo. Había un bosque verde hermoso debajo mío. Pensaba en lo cómodo de las copas de los árboles. Si me caigo me caigo"
"interpretar y tener un sueño","escuché las batucadas de las protestas que hay a dos cuadras de mi casa","uhh uhh uhh ahh euhh eeehh ehh aaahh ehh ahh ahh ahh eehh ehh ahhh ehhh ahhhh"
"interpretar y tener un sueño","","no me acuerdo lo que soñé. Creo que sentía un olor a quemado."
"interpretar y tener un sueño","","no me acuerdo lo que soñé. Perdón."
"interpretar y tener un sueño","No puedo conseguir un trabajo para la carrera en la que me formé. Constantemente me enfrento a situaciones en las que mis habilidades son presentadas como poco útiles o demasiado complicadas para afrontar un proceso de emprendedurismo. Una taxista me dijo que tengo que olvidarme de trabajar solo ocho horas al día. Estaba jubilada.","Sandra Petovello no puede pegar un ojo nunca más en su vida. Su almohada está llena de un líquido que le infectó la cabeza y elimina toda la capacidad de sentir piedad de su mente. A cambio de esto consigue un dolor detrás de su ojo que jamás desaparecerá. Estoy transpirando mucho en la frente."
"interpretar y tener un sueño","hoy estuve en el taller","no me acuerdo mucho, pero sé que en el sueño tenía la capacidad de llenar cualquier objeto vacío."
"cuál es tu sueño favorito?","soñé que tenía un cuarto abajo de un árbol, era un roble australiano, sus ramas caían hasta el piso","yo siempre dormía ahí, abajo del árbol, a la intemperie, porque sus ramas me protegían y eran noches de verano cálidas y lindas"
"quiero que seas abstracto","soñé con un multiverso, como que salía de un mundo y estaba en otro y así","era como una mamushka pero de mundos que se parecían a burbujas, creo que fue por tanto mirar la luna"
"algún sueño te dió miedo?","sí, soñé que el lago era falso, el piso era de concreto como una pileta pero podía ver a lo lejos, bajo el agua, ahí había un cuerpo tapado con una frazada como si estuviese durmiendo, como si estuviera muerto","en el sueño no sabíamos quién era ese muerto yo lo señalaba, hacia que los demás lo miren"
